Entrada Turistas internacionales en la Comunitat Valenciana
640465
1157433
1659985
777729
723316
1246744
1610140
808202
783742
1189860
1813854
914960
786109
1287358
1814801
935031
811041
1305789
1729284
1034651
935582
1469046
1917112
1079970
919518
1542135
1990727
1125235
993533
1536834
2085632
1097180
1094001
1616938
2019104
983270
780831
1447336
1909005
959169
801745
1372669
1909741
937237
814715
1471385
2055027
996458
757888
1452536
2156920
991704
810648
1702546
2323208
1133192
908278
1742776
2409680
1165347
931632
1777595
2567834
1263694
1148198
2140383
2937247
1505942
1358999
2542651
3359042
1665268
1518208
2586351
3320258
1786346
